#space dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)	#space dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries	#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case	#          2) English words are converted to lower case
#          3) Added category as 'noun' by default	#          3) Added category as 'noun' by default
###############################################################################	###############################################################################
baffle_noun	bAXikA/vyAroXa
bagasse_noun	KoI
baking_noun	pakAnA
balancer_noun	sanwuliwra
ballast_noun	sWiraka/BAra
ballistic_noun	prakRepika/prAkRepikIya
ballistics_noun	prAkRepikI
balloonborne_noun	bElUnavAhiwa
ballooning_noun	gubbArA_cAlana/bElUnI
balun_noun	bElana
band_noun	pattI/bEMda
banding_noun	pattaracanA/pattana
bandwidth_noun	bEMda_viswAra
bar_noun	xaNda/XArI
barometric_noun	vAyuxAbamApI
baroswitch_noun	bErosvica
barrel_noun	pIpA/bErala
barren_noun	Usara
barretter_noun	bEretara
barricade_noun	surakRA_Biwwi
barrier_noun	avaroXa
baryogenesis_noun	bEriyojanya
baryon-antibaryon_noun	bEriyona/prawi-_bEriyona
baryonic_noun	bEriyonika
barytes_noun	bErAitIja
basaltic_noun	basAltI
base_noun	kRAra/besa/AXAra
basicity_noun	kRArakawA/besisitI
basin_noun	xroNI
batchwise_noun	pracayawa:
battery_noun	bEtarI
beacon_noun	bIkana
bead_noun	maNikA
beading_noun	maNikAyana
beam_noun	kiraNapuFja_bIma
beamwidth_noun	kiraNapuFja_viswAra
bearing_noun	xigmAna/xikkoNa/beyariMga
beat_noun	vispanxa
behaviour_noun	AcaraNa/vyavahAra
bel_noun	bela
bellows_noun	XOMkanI
bend_noun	bafka/moda
bending_noun	bafkana
benzene_noun	benjIna
benzol_noun	benjoYla
berilliosis_noun	beriliosisa
beryllium_noun	beriliyama
betatron_noun	bItAtroYna
bias_noun	aBinawi/bAyasa
biaxial_noun	xvi-akRIya
biconical_noun	xviSafku
bifocal_noun	xviPokasI
bifurcation_noun	xviSAKana
biharmonic_noun	xviprasaMvAxI/bAihArmonika
bimodal_noun	xvibahulaka
bin_noun	bina
binary_noun	xviAXArI
binaural_noun	xvipaWI/xviSravI
binder_noun	yojaka/banXaka
binomial_noun	xvipaxa
binor_noun	bAyanora
bioelectronics_noun	jEva_ilektrAnikI
bionics_noun	bAyonikI/jEva_ilektrAnikI/jEvanikI
biosphere_noun	jEva_maNdala
bipartite_noun	xviviBAjiwa
bipolar_noun	xviXruvI
bird_noun	barda
bis_noun	xviwa
bisector_noun	arXaka
bistable_noun	xvisWiwika
bit_noun	bita/xvayafka
blade_noun	Palaka/bleda
blank_noun	rikwa/blEMka
blanking_noun	lopana
blast_noun	visPota/prasPota
blazar_noun	blAjAra
bleaching_noun	viraFjana
blender_noun	sammiSraka/uwmiSraka
blending_noun	uwmiSraNa/uwmiSraka/sammiSraNa
blooming_noun	vilepana
blow_noun	Xamana/blo/AGAwa
blower_noun	XOMkanI/bloara
blurring_noun	aspaRtawA
boiler_noun	bAyalara/kvaWiwra
bolometer_noun	wejamApI/bolomItara
bolt_noun	kAbalA/bolta
bombardment_noun	bamabArI/bOCAra
bond_noun	banXa/banXana/upabanXa
bonderization_noun	bANdarIkaraNa
bonding_noun	AbanXana/banXana
boom_noun	bUma/xaNdikA
booster_noun	aBivarXaka/bUstara
boosting_noun	aBivarXana
bootstrapping_noun	bUtastrEpiMga
boroscope_noun	boroskopa
bottom_noun	wala/walA
bounce_noun	Jampa/uCAla
bound_noun	sImA/paribanXa
boundary_noun	parisImA/sImAnwa
bpsk-modulation_noun	bI.pI.esa.ke.-_mAdulana
bracket_noun	koRTaka/brEketa
braid_noun	gumPana/gunWana
branching_noun	SAKana
brazing_noun	tAzkA_lagAnA/brejana
break-even_noun	samavicCexa/lABAlABa_sama
breathing_noun	Svasana
breezeway_noun	JaroKA
bright_noun	xIpwa/xyuwimAna/camakIlA
brightening_noun	praBAsana/praxyowana
brightness_noun	xyuwi/praBA/praxIpwi
brilliance_noun	camaka
brine_noun	lavaNa_jala/KArA_pAnI
briquetting_noun	briketIkaraNa
broadcast_noun	prasAraNa
broadening_noun	viswqwIkaraNa
bromine_noun	bromIna
bronze_noun	kAMsA/kAMsya
bubble_noun	bulabulA/buxbux
buckling_noun	AkuFcana
buffer_noun	uBayaprawiroXI/baPara
buffetting_noun	Wapedana
bug_noun	baga/xoRa
bulge_noun	uBAra
bump_noun	kakuxa/uBAra
bumper_noun	bampara
bunching_noun	gucCana
burner_noun	jvAlaka/barnara
burning_noun	jvalana
burst_noun	prasPota
bus_noun	basa
bushing_noun	vyAswara/AswIna/AswIna_lagAnA/buSiMga
butadiene_noun	byUtAdAina
butanol_noun	byUtanola
butene_noun	byUtIna
buzzing_noun	kalasvara
bypass_noun	bAIpAsa
byte_noun	bAita/atTA
c-band_noun	sIbEMda/bEMda_k_-
cable_noun	kebila/samuxrI_wAra/anwararARtrIya_wAra
cabling_noun	wAra_safgraWana/kebaliMga
caging_noun	kejana/paFjarana
caking_noun	kekana
calciner_noun	niswApiwra/niswApaka
calculate_noun	parikalana/gaNanA_karanA
calculator_noun	parikalaka/kElkyuletara
calibrate_noun	aMSAfkana
calibration_noun	aMSAfkana
call_noun	koYla
calorie_noun	kElorI
cam_noun	kEma
camera_noun	kEmarA
camouflage_noun	CaxmAvaraNa
campaign_noun	aBiyAna
can_noun	kena/dibbA
cancelled_noun	niraswa
candela_noun	kendelA
canonical_noun	vihiwa/kEnAnikala
cant_noun	wiraCA
cantilever_noun	Bujowwolaka/kEMtIlIvara/prASa
cap_noun	AcCaxa/topa
capabilitiy_noun	kRamawA
capacitance_noun	XAriwA
capillary_noun	keSikA/kEpilarI
capsule_noun	gutikA/samputa/kEpsyUla
captive_noun	vaSIBUwa/hiwArWa/baxXa
capture_noun	pragrahaNa
carbon_noun	kArbana
carbonaceous_noun	kArbanamaya/kArbanayukwa
carbonate_noun	kArboneta/kArbonetI
carcinotron_noun	kArsinotrAna
card_noun	kArda/pawraka
carina_noun	nOwala/kUtaka
carrier_noun	vAhaka
carry_noun	hAsila/haswafgawa
carrying_noun	vahana_karanA
cartography_noun	mAnaciwrakalA_kArtoseta
cascade_noun	sopAnI
cascading_noun	sopAnana
casing_noun	AvaraNa/Avaraka/kesana
cassette_noun	kEseta
cast_noun	saFcaka/DalA_huA
castability_noun	saFcakanIyawA/DalanIyawA
casting_noun	saFcakana/DalAI/DAlanA/xUraxarSana_prasAraNa
castings_noun	saFcakana_uwpAxana/saFcakana
casualty_noun	kejueltI/awyAhawa
catalysis_noun	uwpreraNa
catalyst_noun	uwpreraka
catenary_noun	kEtinarI/kEtenarI
cathode_noun	kEWoda
causative_noun	kAraka/kAraNI
causticity_noun	xAhakawA/kAstikawA
cavitation_noun	kotarana
cavity_noun	kotara/guhikA/guhA
ceiling_noun	CAxana/CAjana
cell_noun	koRTikA/sela
cellular_noun	sElulara/koRTaka
celluloid_noun	sElulAida
cellulose_noun	sEluloja
cementite_noun	sImeMtAita
centrifugal_noun	apakeMxrI
centrifugation_noun	apakeMxrIkaraNa
centrifuge_noun	apakeMxriwra
centripetal_noun	aBikeMxrI
centroid_noun	keMxraka
ceramics_noun	mqwwikASilpa/siremikI
certificate_noun	pramANa-pawra/sartiPiketa
chain_noun	SqfKalA/cena
challenging_noun	cunOwIpUrNa
chamber_noun	koRTa/kakRa
channel_noun	cEnala/vAhikA
