#geotechnology dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)	#geotechnology dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries	#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case	#          2) English words are converted to lower case
#          3) Added category as 'noun' by default	#          3) Added category as 'noun' by default
#################################################################################	#################################################################################
smooth_noun	cikanA/masqNa
soft_noun	komala/narama
solid_noun	Tosa
solution_noun	Gola/upAya
sources_noun	swrowa
specific_noun	viSiRta/apekRiwa
specification_noun	vinirxeSa
spectrum_noun	varNakrama
sphericity_noun	golasva/golAI
stability_noun	sWAyiwva
stage_noun	caraNa/steja
statistics_noun	sAfKyikI
steep_noun	sIXI_DAla/KadI_DAla
storage_noun	BaNdAraNa
store_noun	BaNdAra_yA_BaNdAra_Gara
strain_noun	vikqwi/niRpIdana
strength_noun	bala/Sakwi/sArmaWya
stress_noun	prawibala
structure_noun	saMracanA
sub-angular_noun	upa-_koNIya
sub-rounded_noun	lagaBaga_golAkAra
sub-tributary_noun	upa-sahAyaka_naxI
submergence_noun	jalaplAvana/jalamagnAvasWA/nimajjana
suitability_noun	upayukwawA
tape_noun	tepa/PIwA
techniques_noun	wakanIka
temperature_noun	wApamAna
tensile_noun	wanana
tension_noun	wanAva
terrain_noun	BU-BAga/SEla_praxeSa
tetra-hydral_noun	cawuRPalakIya
texture_noun	gaTana/banAvata
titration_noun	anumApana
topography_noun	sWalAkqwi
toughness_noun	kaTorawA/kadApana
toxins_noun	viREle_wawva
training_noun	praSikRaNa
transmissibility_noun	pAragamana_kRamawA
transmission_noun	saFcaraNa/prasAraNa
transpiration_noun	vARpowsarjana
treatment_noun	upacAra/praSoXana
trenches_noun	KAIyAM
trenching_noun	KAI_banAnA
triaxial_noun	wriakRIya/trAI-eksiyala
tributary_noun	upanaxI
trolly_noun	trAlI/TelA
trowel_noun	karanI
tunnels_noun	surafge
twinning_noun	yamala/jode_banAnA
type_noun	kisma/prakAra
undrained_noun	anapavAha
unhydrated_noun	nirjalIya
uniform_noun	eka_samAna
upstream_noun	prawipravAha/UrXvapravAha
vacuum_noun	nirvAwa/SUnya
variability_noun	parivarwanIyawA
various_noun	viBinna
vehicle_noun	vAhana
velocity_noun	vega
verticle_noun	UrXva
vibrating_noun	kampamAna
vibrations_noun	kampana
void_noun	rikwi
weight_noun	BAra/vajana
workability_noun	sukAryawA/kArya_meM_lAne_kI_yogyawA
works_noun	nirmANa_kArya
yard_noun	addA/sWala/prAfgaNa
zone_noun	kRewra/KaNda
