#electrical multi word dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)	#electrical multi word dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries	#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case	#          2) English words are converted to lower case
#          3) Added category as 'noun' by default	#          3) Added category as 'noun' by default
#          4) If last word is not punctuation then treated last word as head	#          4) If last word is not punctuation then treated last word as head
#             or else treated last but one word as head	#             or else treated last but one word as head
#################################################################################	#################################################################################
act_of_misconduct	kaxAcAra#kaxAcAra#noun#3#RM
action_,_creeping	visarpaNa_kriyA#visarpaNa_kriyA#noun#3#RM
action_committee	kArravAI_samiwi#kArravAI_samiwi#noun#2#RM
action_plan	kArya_yojanA#kArya_yojanA#noun#2#RM
activated_silica	sakriyiwa_silikA/sakriyakqwa#sakriyiwa_silikA/sakriyakqwa#noun#2#RM
active_circuit	sakriya_paripaWa#sakriya_paripaWa#noun#2#RM
active_current	sakriya_XArA#sakriya_XArA#noun#2#RM
active_energy	sakriya_UrjA#sakriya_UrjA#noun#2#RM
active_force	sakriya_bala#sakriya_bala#noun#2#RM
active_power	sakriya_Sakwi#sakriya_Sakwi#noun#2#RM
active_transducer	sakriya_trAMsadyUsara#sakriya_trAMsadyUsara#noun#2#RM
active_volt-ampere	sakriya_volta-EMpiyara#sakriya_volta-EMpiyara#noun#2#RM
active_voltage	sakriya_voltawA#sakriya_voltawA#noun#2#RM
actual_bond_stress	vAswavika_AbanXa_prawibala#vAswavika_AbanXa_prawibala#noun#3#RM
actual_demand	vAswavika_mAfga#vAswavika_mAfga#noun#2#RM
actual_expenditure	vAswavika_vyaya/vAswavika_Karca#vAswavika_vyaya/vAswavika_Karca#noun#2#RM
actual_stress_intensity	vAswavika_prawibala_wIvrawA#vAswavika_prawibala_wIvrawA#noun#3#RM
actual_utilization	vAswavika_upayoga#vAswavika_upayoga#noun#2#RM
actuator_ring	saFcAlaka_valaya/pravarwaka_valaya#saFcAlaka_valaya/pravarwaka_valaya#noun#2#RM
acute_shortage	awyaXika_kamI/BIRaNa_aBAva#awyaXika_kamI/BIRaNa_aBAva#noun#2#RM
ad_hoc_increase	waxarWa_vqxXi#waxarWa_vqxXi#noun#3#RM
ad_interim	anwarima#anwarima#noun#2#RM
