##Added by Roja (25-05-12)	##Added by Roja (25-05-12)
##Science Compound Dictionary .	##Science CoMpound Dictionary .
##Extracted from 'Class10_Science_Index_NCERT_TextBook_HindiEdition.pdf'	##Extracted from 'Class10_Science_Index_NCERT_TextBook_HindiEdition.pdf'
#Science_word	Hindi_word_in_wx
############################################################################	############################################################################
Encephalitis	maswiRka_jvara/maswiRka_SoWa
Endothermic	AzwaroRmi/URmASoRI
Enlarged	vivarXiwa
Environment	paryAvaraNa
Equation	samIkaraNa
Equipment	upaskara
Essence	iwra
Esterification	estarIkaraNa
Evolution	vikAsa
Exceptionally	awiSaya_rUpa_meM
Excretion	uwsarjana
Exhaustible	samApya
Exothermic	URmAkRepI
Extraction	niRkarRaNa
Eye	AzKa/newra
Eyeball	newragolaka
Eye_lens	aBinewra_leMsa
Famine	xurBikRa
Far_point	xUra_biMxu
Fat	vasA
Feedback	punarBaraNa
Fermentation	kiNvana
Fertilisation	niRecana
Field_of_view	xqRti_kRewra
Filter	CAnanA
Filtration	nisyanxana
Fire_extinguisher	agniSAmaka
Fission	viKaNdana
Fleming's_left	PlemiMga_kA_vAma
Fluorine	PluorIna
Focal_length	Pokasa_xUrI
Food_chain	AhAra_SrqfKalA
Food_web	AhAra_jAla
Fore_brain	agra_maswiRka
Forest_conservation	vana_saMrakRaNa
Formula	sUwra
Fossil_fuel	jIvARmI_IMXana
Fossil	jIvASma
Fragmentation	KaNdana
Frequency	Avqwwi
Fullerenes	Pularena
Fusion	saMlayana/viKaNdana
Gallbladder	piwwASaya
Galvanisation	yaSaxalepana
Gamete	yugmaka
Gastric_gland	jaTara_granWi
Gastric_juice	jaTara_rasa
Genetic_material	AnuvaMSika_paxArWa
Geothermal_energy	BUwApIya_UrjA
Glitter	camaka
Global_warming	vESvika_URmIkaraNa
Glomerulus	koSikAgucCa
Glow	jalanA
Goldsmith	sunAra/svarNakAra
Gradation	SreNIkaraNa
Granulated	xAnexAra
Green_house	pOXa_Gara
Group	samUha
Growth	vqXxi
hand_rule	haswa_niyama
Hardness	kaTorawA
Harvesting	safgrahaNa
Helium	hIliyama
Herbivore	SAkAhArI
Heredity	AnuvaMSikawA
Heterotroph	viRama_poRI
Hexagonal_array	RatakoNIya_vyUha
Hind_brain	paSca_maswiRka
Homogeneous	samAfgI
Homologous_series	samajAwIya_SreNI
Hot_spots	viSiRta_sWala
Human_eye	mAnava_newra
Humid	Arxra
Hydrophilic	jalarAgI
Hydrophobic	jalavirAgI
Hydro_power_plant	jala_vixyuwa_saMyanwra
Hypermetropia	nikata_xqRti
Hypertension	ucca_rakwacApa
Illumination	praxIpwi
Image	prawibiMba
