#telecommunication dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)	#telecommunication dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries	#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case	#          2) English words are converted to lower case
#          3) Added category as 'noun' by default	#          3) Added category as 'noun' by default
#########################################################################################	#########################################################################################
supersonic_noun	karwAwIwa/parAXvanika
supply_noun	saplAI
support_noun	AXAra
surface_noun	sawaha
switch_noun	svica
synchronism_noun	samakramikawA
system_noun	praNAlI/paxXawi
tablet_noun	tikkI
tangible_noun	mUrwa
telecommunication_noun	xUrasaFcAra
telegraph_noun	wAra
telegraphy_noun	wAra
telephone_noun	telIPona
teleprinter_noun	telIpriMtara
television_noun	xUraxarSana/telIvijana
temporary_noun	asWAyI
terminal_noun	tarminala
theoritical_noun	sExXAnwika
theory_noun	sixXAnwa
thermal_noun	uRmIya
thimble_noun	CallA
tip_noun	sirA
token_noun	tokana
tokenless_noun	tokana_rahiwa
tone_noun	svara
tracing_noun	anureKaNa
tracking_noun	paWana
traction_noun	karRaNa
transconductance_noun	pAracAlawA
transformer_noun	trAMsaPArmara
transistor_noun	trAMsistara
transmission_noun	preRaNa/saFcAraNa
transmitter_noun	preRiwra
trigger_noun	trigara
trimmer_noun	karwaka
trunking_noun	trafkiMga
tubular_noun	nAlikAkAra
tune_noun	svara
tuning_noun	tyUniMga
twisted_noun	varwiwa
unidirectional_noun	ekaxiSIya
uniform_noun	samAna
uniselector_noun	ekala_saMvaraka
unit_noun	ikAI
unmanned_noun	cOkIxAra_rahiwa
unusual_noun	asAXAraNa
vaccum_noun	nirvAwa
valid_noun	vEXa/viXimAnya
value_noun	mUlya
valve_noun	vAlva
variable_noun	parivarwI
vehicle_noun	vAhana
velocity_noun	vega
vibration_noun	kampana
vibrator_noun	kampaka/kampiwra
visibility_noun	xqSyawA
visual_noun	xqSya
voltage_noun	voltawA
volume_noun	mAwrA/rASi/prabalawA/Ayawana
warning_noun	cewAvanI
washer_noun	vASara
wave_noun	warafga
web_noun	veba
welding_noun	JalAI
whistle_noun	sItI
winding_noun	lapeta
wiring_noun	wAra_sWApana/wAra_lagAnA
yard_noun	yArda
yoke_noun	yoka
