#it multi word dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)	#it multi word dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries	#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case	#          2) English words are converted to lower case
#          3) Added category as 'noun' by default	#          3) Added category as 'noun' by default
#          4) If last word is not punctuation then treated last word as head	#          4) If last word is not punctuation then treated last word as head
#             or else treated last but one word as head	#             or else treated last but one word as head
#################################################################################	#################################################################################
acoustic_modem	Xvanika_moYdema#Xvanika_moYdema#noun#2#RM
acoustic_signal	Xvanika_safkewa#Xvanika_safkewa#noun#2#RM
acoustic_storage	Xvanika_BaNdAraNa#Xvanika_BaNdAraNa#noun#2#RM
acoustical_coupler	Xvanika_yugmaka#Xvanika_yugmaka#noun#2#RM
acoustical_sound_enclosure	Xvanika_Xvani_pariveRTaka#Xvanika_Xvani_pariveRTaka#noun#3#RM
action_cycle	kriyA_cakra#kriyA_cakra#noun#2#RM
action_line	kriyA_reKA#kriyA_reKA#noun#2#RM
action_message	kriyA_sanxeSa#kriyA_sanxeSa#noun#2#RM
action_routine	kriyA_nemakA#kriyA_nemakA#noun#2#RM
action_specification	kriyA_vinirxeSa#kriyA_vinirxeSa#noun#2#RM
activation_function	sakriyaNa_Palana#sakriyaNa_Palana#noun#2#RM
activation_record	sakriyaNa_aBileKa#sakriyaNa_aBileKa#noun#2#RM
active_area	sakriya_kRewra#sakriya_kRewra#noun#2#RM
active_cell	sakriya_sela#sakriya_sela#noun#2#RM
active_configuration	sakriya_vinyAsa#sakriya_vinyAsa#noun#2#RM
active_control	sakriya_niyanwraNa#sakriya_niyanwraNa#noun#2#RM
active_data_dictionary	sakriya_AfkadA_koSa#sakriya_AfkadA_koSa#noun#3#RM
active_database	sakriya_detAbesa#sakriya_detAbesa#noun#2#RM
active_dbms	sakriya_dI_bI_ema_esa#sakriya_dI_bI_ema_esa#noun#2#RM
active_end	sakriya_anwa/sakriya_Cora#sakriya_anwa/sakriya_Cora#noun#2#RM
active_file	sakriya_saFcikA#sakriya_saFcikA#noun#2#RM
active_hub	sakriya_haba#sakriya_haba#noun#2#RM
active_index	sakriya_sUcakAfka#sakriya_sUcakAfka#noun#2#RM
active_learning	sakriya_aXigama#sakriya_aXigama#noun#2#RM
active_light	sakriya_prakASa#sakriya_prakASa#noun#2#RM
active_line	sakriya_lAina#sakriya_lAina#noun#2#RM
active_link	sakriya_kadI#sakriya_kadI#noun#2#RM
active_master_file	sakriya_praXAna_saFcikA#sakriya_praXAna_saFcikA#noun#3#RM
active_master_item	sakriya_praXAna_maxa#sakriya_praXAna_maxa#noun#3#RM
active_matrix_display	sakriya_mEtrikasa_praxarSa/sakriya_AvyUha_praxarSa#sakriya_mEtrikasa_praxarSa/sakriya_AvyUha_praxarSa#noun#3#RM
active_name_table	sakriya_nAma_sAraNI#sakriya_nAma_sAraNI#noun#3#RM
active_node	sakriya_nispanxa/sakriya_noda#sakriya_nispanxa/sakriya_noda#noun#2#RM
active_object	sakriya_lakRya#sakriya_lakRya#noun#2#RM
active_port	sakriya_xvAra#sakriya_xvAra#noun#2#RM
active_process_table	sakriya_prakraya_sAriNI#sakriya_prakraya_sAriNI#noun#3#RM
active_reference_table	sakriya_sanxarBa_sAraNI/sakriya_nirxeSa_sAraNI#sakriya_sanxarBa_sAraNI/sakriya_nirxeSa_sAraNI#noun#3#RM
active_satellite	sakriya_upagraha#sakriya_upagraha#noun#2#RM
active_segment_table	sakriya_KaNda_sAraNI#sakriya_KaNda_sAraNI#noun#3#RM
active_sensing	sakriya_saMvexana#sakriya_saMvexana#noun#2#RM
active_server_page	sakriya_parisevaka_pqRTa/sakriya_sarvara_pqRTa#sakriya_parisevaka_pqRTa/sakriya_sarvara_pqRTa#noun#3#RM
active_star	sakriya_wAraka#sakriya_wAraka#noun#2#RM
active_station	sakriya_keMxra#sakriya_keMxra#noun#2#RM
active_storage	sakriya_BaNdAra#sakriya_BaNdAra#noun#2#RM
active_termination	sakriya_samApwi#sakriya_samApwi#noun#2#RM
active_transaction	sakriya_lenaxena/kriyA_kalApa#sakriya_lenaxena/kriyA_kalApa#noun#2#RM
active_value	sakriya_mAna#sakriya_mAna#noun#2#RM
active_window	sakriya_viMdo/sukriyA_KidakI#sakriya_viMdo/sukriyA_KidakI#noun#2#RM
activity_level	sakriyawA_swara#sakriyawA_swara#noun#2#RM
activity_loading	kAryaBAra/kArya_BAraNa#kAryaBAra/kArya_BAraNa#noun#2#RM
activity_ratio	sakriyawA_anupAwa#sakriyawA_anupAwa#noun#2#RM
actual_address	vAswavika_pawA#vAswavika_pawA#noun#2#RM
actual_code	vAswavika_kUtravAswavika_koda#vAswavika_kUtravAswavika_koda#noun#2#RM
actual_data_transfer_rate	vAswavika_AfkadA_anwaraNa_xara#vAswavika_AfkadA_anwaraNa_xara#noun#4#RM
actual_decimal_point	vAswavika_xaSamalava_biMxu#vAswavika_xaSamalava_biMxu#noun#3#RM
actual_instruction	vAswavika_anuxeSa#vAswavika_anuxeSa#noun#2#RM
actual_key	vAswavika_kuFjI#vAswavika_kuFjI#noun#2#RM
actual_time	vAswavika_kAla#vAswavika_kAla#noun#2#RM
actual_work_time	vAswavika_kArya_kAla#vAswavika_kArya_kAla#noun#3#RM
actuation_signal	pravarwaka_safkewa#pravarwaka_safkewa#noun#2#RM
acyclic_graph	acakrIya_grAPa/AleKa/leKAciwra#acakrIya_grAPa/AleKa/leKAciwra#noun#2#RM
ada_(_language_)	edA_(kampyUtara_BARA)#edA_(kampyUtara_BARA)#noun#3#RM
adapter_address	anukUlaka_pawA#anukUlaka_pawA#noun#2#RM
adapter_device	anukUlaka_yukwi#anukUlaka_yukwi#noun#2#RM
adapter_device_driver_architecture	anukUlaka_yukwi_cAlaka_saMracanA#anukUlaka_yukwi_cAlaka_saMracanA#noun#4#RM
adapter_segment	anukUlana_KaNda#anukUlana_KaNda#noun#2#RM
adaptive_channel_allocation	anukUlI_praNAla_niyawana#anukUlI_praNAla_niyawana#noun#3#RM
adaptive_color_model	anukUlana_varNa_nixarSa#anukUlana_varNa_nixarSa#noun#3#RM
adaptive_differential_(_aspcm_)	anukUlana_viBexa#anukUlana_viBexa#noun#4#RM
adaptive_integration	anukUlI_samAkalana#anukUlI_samAkalana#noun#2#RM
adaptive_maintenance	anukUlI_anurakRaNana#anukUlI_anurakRaNana#noun#2#RM
adaptive_routine_protocol	anukUlI_nemikA(rUtIna)_protokoYla#anukUlI_nemikA(rUtIna)_protokoYla#noun#3#RM
adaptive_routing	anukUlaka_anumArgaNa#anukUlaka_anumArgaNa#noun#2#RM
adaptive_sampling	anukUla_prawixarSana#anukUla_prawixarSana#noun#2#RM
adaptive_spatial_subdivision	anukUlI_avakASiya_upaBAjana#anukUlI_avakASiya_upaBAjana#noun#3#RM
adaptive_transversal	anukUlI_anuprasWa#anukUlI_anuprasWa#noun#2#RM
add_file	yoga_saFcikA#yoga_saFcikA#noun#2#RM
add_in_program	progrAma_aXiyoga#progrAma_aXiyoga#noun#3#RM
add_mode	yoga_viXA#yoga_viXA#noun#2#RM
add_operation	joda/yoga_safkriyA#joda/yoga_safkriyA#noun#2#RM
add_strip	yoja_pattI#yoja_pattI#noun#2#RM
add_time	safkalana_kAla#safkalana_kAla#noun#2#RM
added_entry	yojiwa_praviRti#yojiwa_praviRti#noun#2#RM
adder_subtracter	yojaka_vyakalaka#yojaka_vyakalaka#noun#2#RM
addicted_to_noise	Xvani_vyasanI#Xvani_vyasanI#noun#3#RM
addition_attribute	yoja_guNa#yoja_guNa#noun#2#RM
addition_record	yoga_aBileKa#yoga_aBileKa#noun#2#RM
addition_table	yoga_sAraNI#yoga_sAraNI#noun#2#RM
additional_character	viSiRta_samprawIka#viSiRta_samprawIka#noun#2#RM
address_book	pawA_puswaka#pawA_puswaka#noun#2#RM
address_bus	pawA_basa#pawA_basa#noun#2#RM
address_calculation_sort	pawA_kalana_CANta#pawA_kalana_CANta#noun#3#RM
address_code	pawA_kUta#pawA_kUta#noun#2#RM
address_command	pawA_samAxeSa#pawA_samAxeSa#noun#2#RM
address_computation	pawA_aBikalana#pawA_aBikalana#noun#2#RM
address_constant	pawA_acara#pawA_acara#noun#2#RM
address_conversion	pawA_rUpAnwaraNa#pawA_rUpAnwaraNa#noun#2#RM
address_data	pawA_AfkadA#pawA_AfkadA#noun#2#RM
address_effective	praBAvI_pawA#praBAvI_pawA#noun#2#RM
address_field	pawA_kRewra#pawA_kRewra#noun#2#RM
address_file	pawA_saFcikA#pawA_saFcikA#noun#2#RM
address_format	pawA_saMrUpa#pawA_saMrUpa#noun#2#RM
address_free_program	pawA_rahiwa_kramAxeSa#pawA_rahiwa_kramAxeSa#noun#3#RM
address_generator	pawA_janaka#pawA_janaka#noun#2#RM
address_interlacing	pawA_anwagraWana#pawA_anwagraWana#noun#2#RM
address_line	pawA_pafkwi#pawA_pafkwi#noun#2#RM
address_mapping	pawA_prawiciwraNa#pawA_prawiciwraNa#noun#2#RM
address_mapping_table	pawA_prawiciwraNa_sAraNI#pawA_prawiciwraNa_sAraNI#noun#3#RM
address_mark	pawA_cihna#pawA_cihna#noun#2#RM
address_mask	pawA_AvaraNa#pawA_AvaraNa#noun#2#RM
address_modification	pawA_Aparivarwana#pawA_Aparivarwana#noun#2#RM
