usa_jagaha	vahAz/usa_jagaha
anwawaH	anwawaH/anwawogawvA/anwa_meM/AKira/AKira/AKirakAra/AKirakAra/howe_havAwe
mahA	awyanwa/awyanwa/awyaXika/be-iMwahA/beiMwahA/bahuwa_aXika/bahuwa_hI/bepanAha/saKwa/saKwa/jamakara/mahA/nihAyawa/cUdAnwa/cUdAnwa/aByaXika/Agara
asaMSaya	niHsanxeha/nissanxeha/jarUra/jarUra/niHsanxeha/nissanxeha/nisanxeha/nisanxeha/binA_Saka/beSaka/bilkula/bilakula/yakInana/yakInana/avaSyameva/avaSya/alabawwA/bilASaka/aBarama/vASiMxA/bASiMxA/avasi/aviwarkika/asaMSaya/niSciwawaH/ikafka
bAez	bAez/bAez_bAjU/bAyeM
anukUla	anusAra/mAPika/muwAbika/anukUla/muAPika/muAPika/muwAbika/aprawIRa
aXunA	aBI/PilahAla/PilahAla/isa_samaya/aba/aWa/aXunA/samprawi/samprawi/aBU/aBE
aXInawA_meM	parAXInawaH/aXInawA_meM/paravaSawaH
prawivarRa	harasAla/prawivarRa/xarasAla/anuvawsara
marNowwara	marNowwara
nimnawaH	nIce/aXaH/nimnawaH/aXo_xiSA_meM
kiswa_xara_kiswa	kiswavAra/kiswavAra/kiswa_xara_kiswa/kiswoM_meM
jalxI	jalxI/SIGra/SIGrawaH/avilambawaH/jalxa/acira/wUrNa/SiwAba/begi/avalambiwa/avalambiwa/jalxI_se/ASu/avilambiwa/avilambiwa/jalxI/savere/sabere
uparAnwa	bAxa/bAxa_meM/paScAw/uparAnwa/ananwara/paScAwa/uparAnwa/ananwara/pICe/uwwara/aWa/anupaxa/anvakRa
kaBI_na_kaBI	xera-savera/kaBI_na_kaBI
havA_kI_waraPa	havA_ke_anukUla/havAnukUla/havA_kI_ora/havA_kI_waraPa
jalxa	jalxI/SIGra/SIGrawaH/avilambawaH/jalxa/acira/wUrNa/SiwAba/begi/avalambiwa/avalambiwa/jalxI_se/ASu/avilambiwa/avilambiwa
niruxxeSyawaH	uxxeSyahInawaH/niruxxeSya/niruxxeSyawaH
binA_Saka	niHsanxeha/nissanxeha/jarUra/jarUra/niHsanxeha/nissanxeha/nisanxeha/nisanxeha/binA_Saka/beSaka/bilkula/bilakula/yakInana/yakInana/avaSyameva/avaSya/alabawwA/bilASaka/aBarama/vASiMxA/bASiMxA/avasi/aviwarkika/asaMSaya/niSciwawaH/ikafka
vakwan-POvakwan	kaBIkaBI/kaBIkaBAra/yaxAkaxA/kaBI-kaBI/kaBI-kaBAra/yaxA-kaxA/vakwan-POvakwan
waxoparAnwa	wawapaScAwa/waxananwara/waxauparAnwa/waxoparAnwa/waxanwara/waxananwara/waxuparAnwa/waxuparAnwa/waxoparAnwa/waxoparAnwa/waxanwara
kahe_muwAbika	kaWanAnusAra/kahanAnusAra/kahe_muwAbika/kahe_muwAbika/kahe_anusAra
Age	sAmane/Age/samakRa/sammuKa/agre/anvakRa/aBimuKa/xarapeSa/Agala/AgalA/Age/agrawaH/BaviRya_meM/Age/BaviRya_kAla_meM/agawyA/pare/Age/bAxa/aba/Age/AiMxA/AiMxA/AyanxA/AyanxA
ekaxama	bilkula/bilakula/ekaxama/nipata/sarAsara/TIka/niwAnwa/niwAnwa/pUrNawaH/pUrI_waraha_se/pUrNawayA/sampUrNawaH/sampUrNawayA/pUrNarupeNa/AmUlacUla/Sawa-prawiSawa
Kuxa	svayaM/svawaH/Kuxa/Kuxa/Apa/ApahI/apaneApa/Kuxa_hI/sAkRAw/sAkRAwa/asAlawana/AparUpa
Cama-Cama	CamaCama/Cama-Cama
isI_jagaha	yahIM/isI_jagaha/ihavEM
vyarWa_hI	vyarWa_hI/yoM_hI/JUTa-mUTa/yOM_hI/yUz_hI/Ese_hI/nAhaka/nAhaka/PajUla/PajUla/PijUla/PijUla/anahaka/anAhaka
viSvAsa_ke_sAWa	viSvAsa_ke_sAWa/viSvasanIyawA_se/viSvAsapUrvaka
KacAKaca	TasATasa/TuzsATuzsa/KacAKaca/TusATusa
AmUla	AmUla
nirnimiRa	apalaka/nirnimeRa/nirnimiRa/nirnimeKa
utakkara	anXAXunXa/bewahASA/anXAXunXa/anXaXunXa/anXaXunXa/utakkara
gahare	gahare/gaharAI_meM
jyoM_kA_wyoM	jyoM_kA_wyoM/jEse_kA_wEse
sAkRAwa	svayaM/svawaH/Kuxa/Kuxa/Apa/ApahI/apaneApa/Kuxa_hI/sAkRAw/sAkRAwa/asAlawana/AparUpa
wawkRaNa	Jatapata/catapata/PatAPata/wuranwa/wuranwa/wawkAla/avilamba/avilamba/POrana/POrana/KatAka_se/wawkRaNa/wadAka_se/wada_se/wapAka_se/awiSIGra/awiSIGrawaH/jalxa_se_jalxa/jalxI_se_jalxI/wada_se/hAWoM-hAWa/hAWoM_hAWa/hAWo-hAWa/hAWo_hAWa/Kata_se/Anana-PAnana_meM/AnanaPAnana_meM/siwAba/siwAbI/besAKwA/TahAkA/ikahAI/ikahAU
uxvignawaH	ciMwiwawaH/uxvignawaH/uxvignawApUrvaka
xina_rAwa	hameSA/saxA/niwya/saxEva/niwya_prawi/sarvaxA/sarvaWA/haraxama/haravakwa/harasamaya/xina-rAwa/xinarAwa/xina_rAwa/rAwa-xina/rAwaxina/niSixina/nisa-vAsara/nisavAsara/niSivAsara/niranwara/niranwara/anavaXi/sarvaxEva/aharaha/pinnA/aharniSa/ahorAwra
kyUzkara	kyoMkara/kyUzkara/kEse
pICe	pICe/paScawaH/pACe/pqRTawaH/arvAka/bAxa/bAxa_meM/paScAw/uparAnwa/ananwara/paScAwa/uparAnwa/ananwara/pICe/uwwara/aWa/anupaxa/anvakRa/awIwa_meM/pahale/BUwa_meM/BUwa_kAla_meM/pICe/piCale_xinoM_meM
samewa	sahiwa/samewa
bevajaha	akAraNa/prayojanahInawaH/Ese_hI/yUz_hI/kAraNahInawaH/bevajaha/uxxeSyahInawaH
pUrvavaw	pUrvavaw/pUrvavawa
paravaSawaH	parAXInawaH/aXInawA_meM/paravaSawaH
lihAjA	isalie/isIlie/awaeva/awaH/lihAjA/lihAjA
xaraasala	vAkaI/vAkaI/vAswava_meM/hakIkawana/hakIkawana/xaraasala/asala_meM/sacamuca/saccI-muccI/saccI_muccI/sawyawaH/vaswuwaH
kalyANArWa	hiwArWa/kalyANArWa
wulanA_meM	apekRAkqwa/wulanA_meM/apekRayA/mukAbale/mukAbale/banisbawa/se
spaRtawaH	spaRta/spaRtawaH/Kula_kara/Kule_wOra_para/Kullama_KullA/binA_lAga_lapeta_ke/sAPa_sAPa/spaRtawayA/sAPa-sAPa/sAPa-sAPa
awarasoM	narasoM/awarasoM/warasoM/narasoM/awarasoM/warasoM
ukavAz	anxAjana/anxAjana/anxAjana/anxAjana/lagaBaga/wakarIbana/wakarIbana/karIba/karIba/karIbakarIba/karIbana/karIbakarIba/karIbana/anumAnawaH/anakarIba/anakarIba/waKamInana/anxAja_se/ukavAz
saKwa	awyanwa/awyanwa/awyaXika/be-iMwahA/beiMwahA/bahuwa_aXika/bahuwa_hI/bepanAha/saKwa/saKwa/jamakara/mahA/nihAyawa/cUdAnwa/cUdAnwa/aByaXika/Agara
AcAna	acAnaka/ekAeka/sahasA/ekabAragI/ikabAragI/yakAyaka/akasmAwa/akasmAw/anAyAsa/xEvAw/xEvavaSa/Ocaka/aprawyASiwawaH/ApAwawaH/aFcakEM/agawyA/acaka/acAFcaka/acAkA/acAka/acAna/anAgawaH/anyAsa/nAgahAz/AcAna/ikahAI/ikahAU/iwwiPAkana/iwwiPAkana/iwwaPAkana/iwwaPAkana/ucakA/Ocaka
pariNAma_svarUpa	PalasvarUpa/pariNAma_svarUpa/pariNAmasvarUpa/pariNAmawaH/PalawaH/nawIjawana
sare-Ama	KuleAma/Kulakara/sareAma/sare-Ama/Kule-Ama/Kullama-KullA/KullamaKullA/dafke_kI_cota_para/sare_Ama/agupwawaH
silasilevAra	kramaSaH/kramAnusAra/yaWAkrama/silasilevAra/bArI-bArI_se/kramavAra/warawIbavAra/ayugapaxa/alpaSaH
galawa_samaya_para	asamaya/bevakwa/bevakwa/galawa_samaya_para/galawa_samaya_para/bemOke
UrXva	Upara/UzcAI_para/UrxXva/UrXva
waba_waka	waba_waka
begi	jalxI/SIGra/SIGrawaH/avilambawaH/jalxa/acira/wUrNa/SiwAba/begi/avalambiwa/avalambiwa/jalxI_se/ASu/avilambiwa/avilambiwa
KAlI	akelA/akele/kevala/sirPa/mAwra/KAlI/KAlI/basa/nipata/mahaja/sirPa/wanhA/wanahA/ekAkI/ekameva/ekafga/ikelA
lihAjA	isalie/isIlie/awaeva/awaH/lihAjA/lihAjA
ekabAragI	acAnaka/ekAeka/sahasA/ekabAragI/ikabAragI/yakAyaka/akasmAwa/akasmAw/anAyAsa/xEvAw/xEvavaSa/Ocaka/aprawyASiwawaH/ApAwawaH/aFcakEM/agawyA/acaka/acAFcaka/acAkA/acAka/acAna/anAgawaH/anyAsa/nAgahAz/AcAna/ikahAI/ikahAU/iwwiPAkana/iwwiPAkana/iwwaPAkana/iwwaPAkana/ucakA/Ocaka
XIre-XIre	XIre-XIre/XIre_XIre/Ahiswe-Ahiswe/AhiswA-AhiswA/hOle-hOle/hole-hole/raPwA-raPwA/alpaSaH
siwAbI	Jatapata/catapata/PatAPata/wuranwa/wuranwa/wawkAla/avilamba/avilamba/POrana/POrana/KatAka_se/wawkRaNa/wadAka_se/wada_se/wapAka_se/awiSIGra/awiSIGrawaH/jalxa_se_jalxa/jalxI_se_jalxI/wada_se/hAWoM-hAWa/hAWoM_hAWa/hAWo-hAWa/hAWo_hAWa/Kata_se/Anana-PAnana_meM/AnanaPAnana_meM/siwAba/siwAbI/besAKwA/TahAkA/ikahAI/ikahAU
TaNDe-TaNDe	TaNde-TaNde/TaNde_TaNde/TaNDe-TaNDe/TaNDe_TaNDe
yaWAsWAna	yaWAsWAna
PajUla	vyarWa/PajUla/PijUla/PijUla/anerA/yoM_hI/vqWA/apArWa/bAxa-havAI/bAxahavAI/ahewu/ahewuka/aviraWA
asaByawaH	asaByawaH/aSiRtawaH/SiRtAcArahInawaH
prayojanawaH	prayojanawaH/kAma_se/kAraNa_se/saprayojana
kaxama-ba_kaxama	pICe-pICe/anupaxa/kaxama-ba_kaxama
PIsaxI	prawiSawa/PIsaxI/PIsaxI/paraseMta
se	apekRAkqwa/wulanA_meM/apekRayA/mukAbale/mukAbale/banisbawa/se
paScawaH	pICe/paScawaH/pACe/pqRTawaH/arvAka
wakarIbana	anxAjana/anxAjana/anxAjana/anxAjana/lagaBaga/wakarIbana/wakarIbana/karIba/karIba/karIbakarIba/karIbana/karIbakarIba/karIbana/anumAnawaH/anakarIba/anakarIba/waKamInana/anxAja_se/ukavAz
pAzcagunA	pAzcagunA/pacagunA
sAvaXAnIpUrvaka	sAvaXAnIpUrvaka/XyAnapUrvaka/XyAna_se/sAvaXAnI_se/sAvaXAnawaH/samBAlakara/samBAlakara
anAhaka	vyarWa_hI/yoM_hI/JUTa-mUTa/yOM_hI/yUz_hI/Ese_hI/nAhaka/nAhaka/PajUla/PajUla/PijUla/PijUla/anahaka/anAhaka
kEse	kEse/kisa_prakAra_se/kyoMkara/kyUzkara/kEse
barbarawApUrvaka	nirxayawApUrvaka/nirxayawA_se/berahamI_se/bexarxI_se/krUrawApUrvaka/barbarawApUrvaka/kaTorawA_se/kadAI_se
iwwiPAkana	acAnaka/ekAeka/sahasA/ekabAragI/ikabAragI/yakAyaka/akasmAwa/akasmAw/anAyAsa/xEvAw/xEvavaSa/Ocaka/aprawyASiwawaH/ApAwawaH/aFcakEM/agawyA/acaka/acAFcaka/acAkA/acAka/acAna/anAgawaH/anyAsa/nAgahAz/AcAna/ikahAI/ikahAU/iwwiPAkana/iwwiPAkana/iwwaPAkana/iwwaPAkana/ucakA/Ocaka/saMyogavaSa/iwwiPAkana/iwwiPAkana/iwwaPAkana/iwwaPAkana/saMyogavaSAw
ArapAra	Ara-pAra/ArapAra
ukadU	ukadUz/ukadU/ukadUz/ukadU/ukurU
jaba_waka	jaba_waka
AdA	wiraCA/wiryaka/AdA/teDA/bAzkA/wirapata
majabUrana	majabUrana/vivaSawaH/anacAhe/majabUrana/vivaSa_hokara/cAranAcAra/anwawogawvA/barabasa
ahora-bahora	bAra-bAra/bAra_bAra/bArambAra/bArambAra/asakqwa/ahora-bahora
adosa-padosa	Asa-pAsa/AsapAsa/agala-bagala/agala-bagala/AjU-bAjU/irxa-girxa/adosa-padosa/pAsa-padosa/pAsa_padosa
nAhaka	vyarWa_hI/yoM_hI/JUTa-mUTa/yOM_hI/yUz_hI/Ese_hI/nAhaka/nAhaka/PajUla/PajUla/PijUla/PijUla/anahaka/anAhaka
barAe_meharabAnI	xayApUrvaka/kqpA_kara_ke/kqpApUrvaka/xayA_se/barAe_meharabAnI
ultA-pultA	ulatA-pulatA/ulatA_pulatA/ulatA-palatA/ultA-paltA/ultA-pultA/ultA_pultA
jiMxagIBara	mqwyuparyanwa/AjIvana/wAumra/umraBara/jiMxagIBara/jiMxagIBara/jIvanaBara/AmaraNa/anwima_xama_waka
aBI_BI	aBI_BI
avilambawaH	jalxI/SIGra/SIGrawaH/avilambawaH/jalxa/acira/wUrNa/SiwAba/begi/avalambiwa/avalambiwa/jalxI_se/ASu/avilambiwa/avilambiwa
Cina-Cina	prawikRaNa/pala_pala/pala-pala/prawipala/hara_kRaNa/kRaNa-kRaNa/haraGadI/hara_GadI/prawi_kRaNa/kRaNakRaNa/anukRaNa/CinaCina/Cina-Cina/AKana
isabAra	aba/abakI/isabAra/aba_kI/isa_bAra
nisafkoca	nisafkoca/niHsafkoca/nissafkoca/beXadaka/safkocahInawaH/beJiJaka/beKataka/beKatake/behicaka
sarAsara	bilkula/bilakula/ekaxama/nipata/sarAsara/TIka/niwAnwa/niwAnwa/pUrNawaH/pUrI_waraha_se/pUrNawayA/sampUrNawaH/sampUrNawayA/pUrNarupeNa/AmUlacUla/Sawa-prawiSawa
uwwara	bAxa/bAxa_meM/paScAw/uparAnwa/ananwara/paScAwa/uparAnwa/ananwara/pICe/uwwara/aWa/anupaxa/anvakRa
jabaraxaswI	balapUrvaka/barabasa/jabaraxaswI/jabaraxaswI/jabarana/jabarana/barajorI
xUra	xUra/xUrI_para/alaga/pare/xarakinAra/xUra/alaga/eka_waraPa/eka_ora/alahaxA
PilahAla	PilahAla/PilahAla/aba/varwamAna_meM/Aja-kala/Ajakala/Aja_kala/AjakAla/ina_xinoM/isa_samaya/samprawi/aBI/PilahAla/PilahAla/isa_samaya/aba/aWa/aXunA/samprawi/samprawi/aBU/aBE
bepanAha	awyanwa/awyanwa/awyaXika/be-iMwahA/beiMwahA/bahuwa_aXika/bahuwa_hI/bepanAha/saKwa/saKwa/jamakara/mahA/nihAyawa/cUdAnwa/cUdAnwa/aByaXika/Agara
xveRahInawaH	IrRyAhInawaH/anasUyawaH/xveRahInawaH
takatakI_se	takatakI_se/ekataka/tukura_tukura/taka-taka/animeRa/animiRa/animiKa/anamiKa/ikataka
anyAsa	acAnaka/ekAeka/sahasA/ekabAragI/ikabAragI/yakAyaka/akasmAwa/akasmAw/anAyAsa/xEvAw/xEvavaSa/Ocaka/aprawyASiwawaH/ApAwawaH/aFcakEM/agawyA/acaka/acAFcaka/acAkA/acAka/acAna/anAgawaH/anyAsa/nAgahAz/AcAna/ikahAI/ikahAU/iwwiPAkana/iwwiPAkana/iwwaPAkana/iwwaPAkana/ucakA/Ocaka
acCI_waraha_se	acCI_waraha/acCI_waraha_se/acCI_waraha/acCI_waraha_se/acCA/baDiyA/acCI_waraha/acCI_waraha_se/tanAtana/TIka/TIka_se/acCI_waraha/acCI_waraha_se/acCI_waraha/acCI_waraha_se
mOna	cupacApa/cupa/mOna/SAnwa/SAnwa/KAmoSI_se/KAmoSI_se/niSSabxa/avAka/avAk/bina_bole/mOnawaH
aTagunA	ATagunA/aTagunA
kramAnusAra	kramaSaH/kramAnusAra/yaWAkrama/silasilevAra/bArI-bArI_se/kramavAra/warawIbavAra/ayugapaxa/alpaSaH
harasAla	harasAla/prawivarRa/xarasAla/anuvawsara
sAsUya	IrRyApUrvaka/IrRyawaH/xveRapUrvaka/sAsUya/IrRyApUrNawaH
nissanxeha	niHsanxeha/nissanxeha/jarUra/jarUra/niHsanxeha/nissanxeha/nisanxeha/nisanxeha/binA_Saka/beSaka/bilkula/bilakula/yakInana/yakInana/avaSyameva/avaSya/alabawwA/bilASaka/aBarama/vASiMxA/bASiMxA/avasi/aviwarkika/asaMSaya/niSciwawaH/ikafka
Kela_Kela_meM	AsAnI_se/sahajawA_se/saralawA_se/Kela_Kela_meM/sahajawaH/anEse
prayawnawaH	prayawnapUrvaka/sAyAsa/prayawnawaH/prayawna_se
bAijjawa	bAijjawa/bAijjawa/sasammAna
KAsakara	viSeRakara/KAsakara/KAsa_wOra_para/KAsa_wOra_se/KAsawOra_para/KAsawOra_se/KAsawOra_para/KAsawOra_se/KAsakara/viSeRawaH/viSiRtawaH/muKyawaH/viSeRa_rUpa_se
jora_se	kasakara/joraxAra/weja/weja/wIvra/wejI_se/jora_se/wejI_se/jora_se/wIvrawA_se
nafge_pEra	nafge_pEra
vyavasWApUrvaka	warIke_se/warIke_se/warawIba_se/karIne_se/karIne_se/vyavasWApUrvaka/vyavasWiwawaH/karInAvAra/karInAvAra
vyavasWiwawaH	warIke_se/warIke_se/warawIba_se/karIne_se/karIne_se/vyavasWApUrvaka/vyavasWiwawaH/karInAvAra/karInAvAra
soca_vicAra_kara	soca-vicArakara/samaJa-bUJakara/vicArapUrvaka/soca-samaJakara/soca_vicAra_kara/samaJa_bUJa_kara/soca_samaJa_kara/vicAriwawaH
anekaXA	prAyaH/akasara/aksara/aXikawara/aXikAMSawaH/jyAxAwara/bahuXA/AmawOra_para/AmawOra_se/aXikAMSawayA/prAyaSaH/anekaXA
Apa	svayaM/svawaH/Kuxa/Kuxa/Apa/ApahI/apaneApa/Kuxa_hI/sAkRAw/sAkRAwa/asAlawana/AparUpa
akaNtaka	nirbAXa/bAXArahiwa/akaNtaka
abakI	aba/abakI/isabAra/aba_kI/isa_bAra
TaNde-TaNde	TaNde-TaNde/TaNde_TaNde/TaNDe-TaNDe/TaNDe_TaNDe
PajUla	vyarWa_hI/yoM_hI/JUTa-mUTa/yOM_hI/yUz_hI/Ese_hI/nAhaka/nAhaka/PajUla/PajUla/PijUla/PijUla/anahaka/anAhaka
WaraWara	Wara-Wara/WaraWara
svaBAvawaH	svaBAvawaH/Axawana
dIMga_mArawe_hue	SeKI_mArawe_hue/dIMga_mArawe_hue
PijUla	vyarWa_hI/yoM_hI/JUTa-mUTa/yOM_hI/yUz_hI/Ese_hI/nAhaka/nAhaka/PajUla/PajUla/PijUla/PijUla/anahaka/anAhaka/vyarWa/PajUla/PijUla/PijUla/anerA/yoM_hI/vqWA/apArWa/bAxa-havAI/bAxahavAI/ahewu/ahewuka/aviraWA
hAjira	peSa/hAjira/hAjira
haraxina	prawixina/haraxina/niwya/hararoja/roja/niwa/roja/rojAnA/rojAnA/anuxina/niwyaprawi/anuxivasa/aharaha
vivaSa_hokara	majabUrana/vivaSawaH/anacAhe/majabUrana/vivaSa_hokara/cAranAcAra/anwawogawvA/barabasa
kyoMkara	kyoMkara/kyUzkara/kEse
joroM_se	jora-Sora_se/jora-Sora_se/joraSora_se/joraSora_se/joroM_se/joroM_se
iwwaPAkana	acAnaka/ekAeka/sahasA/ekabAragI/ikabAragI/yakAyaka/akasmAwa/akasmAw/anAyAsa/xEvAw/xEvavaSa/Ocaka/aprawyASiwawaH/ApAwawaH/aFcakEM/agawyA/acaka/acAFcaka/acAkA/acAka/acAna/anAgawaH/anyAsa/nAgahAz/AcAna/ikahAI/ikahAU/iwwiPAkana/iwwiPAkana/iwwaPAkana/iwwaPAkana/ucakA/Ocaka/saMyogavaSa/iwwiPAkana/iwwiPAkana/iwwaPAkana/iwwaPAkana/saMyogavaSAw
spaRtawayA	spaRta/spaRtawaH/Kula_kara/Kule_wOra_para/Kullama_KullA/binA_lAga_lapeta_ke/sAPa_sAPa/spaRtawayA/sAPa-sAPa/sAPa-sAPa
Binasahare	BinasAre/Binasahare
XUAzXAra	lagAwAra/anavarawa/niranwara/niranwara/wAbadawoda/xanAxana/sawawa/XUAzXAra/ananwara/ananwara/avirAmawaH/aniSa/prawikRaNa/anukRaNa/XadAXada/avirawa/muwwasila/avicCinna/avicCexa/aviSrAnwa/aviSrAnwa/asarAra/aharaha/Asafga/Asafga/ikawAra
anusAra	anusAra/mAPika/muwAbika/anukUla/muAPika/muAPika/muwAbika/aprawIRa
barabasa	majabUrana/vivaSawaH/anacAhe/majabUrana/vivaSa_hokara/cAranAcAra/anwawogawvA/barabasa/balapUrvaka/barabasa/jabaraxaswI/jabaraxaswI/jabarana/jabarana/barajorI
xayA_se	xayApUrvaka/kqpA_kara_ke/kqpApUrvaka/xayA_se/barAe_meharabAnI
alam	basa/alam/alaM/paryApwa/kAPI/kAPI/yaWeRta/alam/alaM
sAmUhika_rUpa_se	samUhawaH/sAmUhika_rUpa_se
anavaXi	hameSA/saxA/niwya/saxEva/niwya_prawi/sarvaxA/sarvaWA/haraxama/haravakwa/harasamaya/xina-rAwa/xinarAwa/xina_rAwa/rAwa-xina/rAwaxina/niSixina/nisa-vAsara/nisavAsara/niSivAsara/niranwara/niranwara/anavaXi/sarvaxEva/aharaha/pinnA/aharniSa/ahorAwra
baje	baje
alaM	basa/alam/alaM/paryApwa/kAPI/kAPI/yaWeRta/alam/alaM
majabUwI_se	xqDawApUrvaka/majabUwI_se/majabUwI_se
asakqwa	bAra-bAra/bAra_bAra/bArambAra/bArambAra/asakqwa/ahora-bahora
AmawOra_se	prAyaH/akasara/aksara/aXikawara/aXikAMSawaH/jyAxAwara/bahuXA/AmawOra_para/AmawOra_se/aXikAMSawayA/prAyaSaH/anekaXA
ekajuta	ekajuta
muwwasila	pAsa_meM/najaxIka/najaxIka/nikata_meM/karIba_meM/samIpa/nikata/pAsa/karIba/karIba/sannikata/najIka/muwwasila/arvAka/avixUra/Are/AsapAsa/Asa-pAsa/lagAwAra/anavarawa/niranwara/niranwara/wAbadawoda/xanAxana/sawawa/XUAzXAra/ananwara/ananwara/avirAmawaH/aniSa/prawikRaNa/anukRaNa/XadAXada/avirawa/muwwasila/avicCinna/avicCexa/aviSrAnwa/aviSrAnwa/asarAra/aharaha/Asafga/Asafga/ikawAra
ulatA_pulatA	ulatA-pulatA/ulatA_pulatA/ulatA-palatA/ultA-paltA/ultA-pultA/ultA_pultA
iXara-uXara	iXara-uXara/jahAz-wahAz/yahAz-vahAz/iwauwa/iwaswawaH
bIcoM_bIca	bIcobIca/bIcoMbIca/bIcoM-bIca/bIcama_bIca/bIcoM_bIca
ina_xinoM	PilahAla/PilahAla/aba/varwamAna_meM/Aja-kala/Ajakala/Aja_kala/AjakAla/ina_xinoM/isa_samaya/samprawi
xqDawApUrvaka	safkalpapUrvaka/irAxawana/irAxe_se/xqDawApUrvaka/niScayapUrvaka/xqDawApUrvaka/majabUwI_se/majabUwI_se
sakuSala	sakuSala/kuSalawApUrvaka/kuSalapUrvaka/sahI_salAmawa/sahI-salAmawa/TIka-TAka/TIka_se/TIka-TAka_se/TIkaTAka/baKEra/baKEra/baKErIya/baKErIyawa/surakRiwawaH
eka_eka_daga	kaxama_ba_kaxama/eka_eka_daga/paxa_prawi_paxa
isa_waraha	yoM/yUz/Ese/isa_waraha/isa_prakAra/EsA/iwWaM/ima/imi/iBa/iva/isE/IxqS/IxqSa
kaxama_ba_kaxama	kaxama_ba_kaxama/eka_eka_daga/paxa_prawi_paxa
abawaka	aba_waka/aBI_waka/Aja_waka/abawaka/aBIwaka/Ajawaka/ajahuz/ajahUz/ajo/ajOM/abalaga
Kule_wOra_para	spaRta/spaRtawaH/Kula_kara/Kule_wOra_para/Kullama_KullA/binA_lAga_lapeta_ke/sAPa_sAPa/spaRtawayA/sAPa-sAPa/sAPa-sAPa
mukAbale	apekRAkqwa/wulanA_meM/apekRayA/mukAbale/mukAbale/banisbawa/se
iwe	iwanA/iwA/iweka/iwe
nisanxeha	niHsanxeha/nissanxeha/jarUra/jarUra/niHsanxeha/nissanxeha/nisanxeha/nisanxeha/binA_Saka/beSaka/bilkula/bilakula/yakInana/yakInana/avaSyameva/avaSya/alabawwA/bilASaka/aBarama/vASiMxA/bASiMxA/avasi/aviwarkika/asaMSaya/niSciwawaH/ikafka
iwa	iXara/isa_ora/yahAz_para/iwaH/iwa/iwE/iwWe/yahAz/isa_jagaha/iwaH/iwa/iha/ihAz/ihavAz/IMGe/IhAz
Anana-PAnana_meM	Jatapata/catapata/PatAPata/wuranwa/wuranwa/wawkAla/avilamba/avilamba/POrana/POrana/KatAka_se/wawkRaNa/wadAka_se/wada_se/wapAka_se/awiSIGra/awiSIGrawaH/jalxa_se_jalxa/jalxI_se_jalxI/wada_se/hAWoM-hAWa/hAWoM_hAWa/hAWo-hAWa/hAWo_hAWa/Kata_se/Anana-PAnana_meM/AnanaPAnana_meM/siwAba/siwAbI/besAKwA/TahAkA/ikahAI/ikahAU
ApahI	svayaM/svawaH/Kuxa/Kuxa/Apa/ApahI/apaneApa/Kuxa_hI/sAkRAw/sAkRAwa/asAlawana/AparUpa
waKamInana	anxAjana/anxAjana/anxAjana/anxAjana/lagaBaga/wakarIbana/wakarIbana/karIba/karIba/karIbakarIba/karIbana/karIbakarIba/karIbana/anumAnawaH/anakarIba/anakarIba/waKamInana/anxAja_se/ukavAz
AKira	anwawaH/anwawogawvA/anwa_meM/AKira/AKira/AKirakAra/AKirakAra/howe_havAwe
iweka	iwanA/iwA/iweka/iwe
iwE	iXara/isa_ora/yahAz_para/iwaH/iwa/iwE/iwWe
iwA	iwanA/iwA/iweka/iwe
samBavawaH	samBavawaH/SAyaxa/syaw
kqpayA	kqpayA/kqpApUrvaka/kqpA_pUrvaka/kqpA_karake/meharabAnI_karake
uXara	uXara/usa_ora/pare/uwa/uwana
sahasA	acAnaka/ekAeka/sahasA/ekabAragI/ikabAragI/yakAyaka/akasmAwa/akasmAw/anAyAsa/xEvAw/xEvavaSa/Ocaka/aprawyASiwawaH/ApAwawaH/aFcakEM/agawyA/acaka/acAFcaka/acAkA/acAka/acAna/anAgawaH/anyAsa/nAgahAz/AcAna/ikahAI/ikahAU/iwwiPAkana/iwwiPAkana/iwwaPAkana/iwwaPAkana/ucakA/Ocaka
anxAjana	anxAjana/anxAjana/anxAjana/anxAjana/lagaBaga/wakarIbana/wakarIbana/karIba/karIba/karIbakarIba/karIbana/karIbakarIba/karIbana/anumAnawaH/anakarIba/anakarIba/waKamInana/anxAja_se/ukavAz
isIlie	isalie/isIlie/awaeva/awaH/lihAjA/lihAjA
bamuSkila	kaTinAI_se/jEse_wEse/muSkila_se/bamuSkila/kaTinawaH/nITi
nisvArWa	nisvArWa/niHsvArWa
isa_samaya	PilahAla/PilahAla/aba/varwamAna_meM/Aja-kala/Ajakala/Aja_kala/AjakAla/ina_xinoM/isa_samaya/samprawi/aBI/PilahAla/PilahAla/isa_samaya/aba/aWa/aXunA/samprawi/samprawi/aBU/aBE
aByaXika	awyanwa/awyanwa/awyaXika/be-iMwahA/beiMwahA/bahuwa_aXika/bahuwa_hI/bepanAha/saKwa/saKwa/jamakara/mahA/nihAyawa/cUdAnwa/cUdAnwa/aByaXika/Agara
kyoM	kyoM/kisalie/kisa_vAswe
xera-savera	xera-savera/kaBI_na_kaBI/xera-savera/avera-savera
sabase_pahale	Age-Age/Age_kI_ora/sabase_pahale
